TransactionID,isFraud
3663549,0.042887177
3663550,0.058233432
3663551,0.078066155
3663552,0.021681555
3663553,0.033874616
3663554,0.029918328
3663555,0.11449191
3663556,0.19488558
3663557,0.012943267
3663558,0.05212244
3663559,0.058883853
3663560,0.043467976
3663561,0.27643752
3663562,0.025989324
3663563,0.053422097
3663564,0.07383765
3663565,0.06125799
3663566,0.04410805
3663567,0.052041307
3663568,0.0645282
3663569,0.11948827
3663570,0.030230531
3663571,0.10798818
3663572,0.071166016
3663573,0.070105
3663574,0.13457014
3663575,0.02786644
3663576,0.23889439
3663577,0.06777794
3663578,0.06388012
3663579,0.12674782
3663580,0.08744073
3663581,0.14096388
3663582,0.04839
3663583,0.030021157
3663584,0.080519825
3663585,0.12156611
3663586,0.10187401
3663587,0.43615147
3663588,0.17808996
3663589,0.5345319
3663590,0.1331576
3663591,0.02810029
3663592,0.07627479
3663593,0.066032104
3663594,0.07708648
3663595,0.058331408
3663596,0.017363286
3663597,0.15360884
3663598,0.37275934
3663599,0.010259617
3663600,0.030420655
3663601,0.16872415
3663602,0.8836465
3663603,0.0074285273
3663604,0.02334423
3663605,0.20011465
3663606,0.058237005
3663607,0.027286986
3663608,0.04522958
3663609,0.08772647
3663610,0.025871215
3663611,0.006736453
3663612,0.013112425
3663613,0.07921707
3663614,0.07482852
3663615,0.034928817
3663616,0.057362325
3663617,0.035217922
3663618,0.043092754
3663619,0.026964625
3663620,0.036927596
3663621,0.019772036
3663622,0.13776663
3663623,0.057362325
3663624,0.26661
3663625,0.042238288
3663626,0.26887387
3663627,0.22107978
3663628,0.25914377
3663629,0.3766152
3663630,0.05500606
3663631,0.039248735
3663632,0.053687524
3663633,0.01263322
3663634,0.076111704
3663635,0.012632542
3663636,0.22292635
3663637,0.21105975
3663638,0.16170324
3663639,0.042140078
3663640,0.049320795
3663641,0.21927308
3663642,0.08358029
3663643,0.030717464
3663644,0.023097552
3663645,0.07696561
3663646,0.29117426
3663647,0.029449226
3663648,0.09843494
3663649,0.07289114
3663650,0.29117426
3663651,0.019382155
3663652,0.043502517
3663653,0.011436606
3663654,0.056519724
3663655,0.23233311
3663656,0.03946358
3663657,0.053213634
3663658,0.033933945
3663659,0.022041338
3663660,0.019135889
3663661,0.22043979
3663662,0.047424
3663663,0.24938533
3663664,0.07815548
3663665,0.06248057
3663666,0.016007831
3663667,0.09151374
3663668,0.04739246
3663669,0.14394104
3663670,0.0150735555
3663671,0.01916864
3663672,0.3086152
3663673,0.044661053
3663674,0.02141168
3663675,0.030007707
3663676,0.042345837
3663677,0.07520404
3663678,0.032380633
3663679,0.0817146
3663680,0.0417422
3663681,0.014470956
3663682,0.23934735
3663683,0.03760845
3663684,0.16540988
3663685,0.076177284
3663686,0.021422032
3663687,0.02433246
3663688,0.018460471
3663689,0.030419094
3663690,0.027301278
3663691,0.07541687
3663692,0.029004041
3663693,0.056238685
3663694,0.03214029
3663695,0.12538536
3663696,0.02986885
3663697,0.04717419
3663698,0.1358593
3663699,0.13131881
3663700,0.11543322
3663701,0.12175
3663702,0.11563656
3663703,0.024121312
3663704,0.6148752
3663705,0.61793643
3663706,0.065777846
3663707,0.058529023
3663708,0.043850545
3663709,0.11453797
3663710,0.13081463
3663711,0.09706026
3663712,0.22507215
3663713,0.37859064
3663714,0.045798138
3663715,0.27420464
3663716,0.24178609
3663717,0.09807466
3663718,0.0393751
3663719,0.24349548
3663720,0.02460075
3663721,0.29013512
3663722,0.09632763
3663723,0.3726015
3663724,0.045426775
3663725,0.027097328
3663726,0.28965878
3663727,0.031483717
3663728,0.02496406
3663729,0.059084885
3663730,0.01946952
3663731,0.02586226
3663732,0.026437199
3663733,0.040690355
3663734,0.01850375
3663735,0.21655138
3663736,0.063243784
3663737,0.02913593
3663738,0.039079107
3663739,0.020347685
3663740,0.0653952
3663741,0.1647145
3663742,0.027288599
3663743,0.041472025
3663744,0.04222634
3663745,0.35314536
3663746,0.088361956
3663747,0.12602405
3663748,0.006825267
3663749,0.101740696
3663750,0.029970357
3663751,0.045094825
3663752,0.10172901
3663753,0.07732572
3663754,0.07659127
3663755,0.10559679
3663756,0.06532522
3663757,0.0829972
